Organizational Unit,Vice Presidential Unit or Grouping,Fiscal Year,"Actuals (US$, Millions)","Subtotals (US$, Millions)",Notes
Governance services,Governance services,2009,171.2,,"Governance services includes units such as: the Board; Corporate Secretariat; Independent Evaluation Group; Institutional Integrity; Internal Audit; 
the Offices of the President, CEO, and Managing Directors; and Internal Justice Services (including Conflict Resolution System, Administrative Tribunal, 
Office of Ethics and Business Conduct, Office of Evaluation and Suspension, and Sanctions Board Secretariat)."
Operational units,Operational units Total,2009,,1317.7,
Institutional services,Institutional services,2009,431.8,,"Institutional Services includes units such as: Budget, Performance, and Strategy; Chief Risk Officer; Development Economics; Development Finance; 
External and Corporate Relations; Legal; Operations Policy and Country Services; Treasury; and WBG Finance and Accounting."
Centrally-managed accounts and programs,Centrally-managed accounts and programs,2009,24.1,,"Centrally-managed accounts and programs includes non-unit accounts and programs that are centrally managed such as Staff Separation funds, Budget Recoveries, Depreciation, Overhead and Benefits, Institutional Programs, HQ Real Estate, Corporate Contingency, Expenditure Review related programs and Budget Returns."
Administrative services,Administrative services,2009,313.2,,"Administrative services Includes General Services Department, Human Resources, Health and Safety Directorate and Information and Technology Solutions."
Operational units,Regional Programs,2009,,,
Operational units,Global Practices and Cross-Cutting Solutions Areas,2009,,,
"Reimbursements, fees, others","Reimbursements, fees, others",2009,-309,,
Grant-making Facilities,Grant-making Facilities,2009,199.7,,
Total gross administrative budget,Total gross administrative budget,2009,,2457.7,
Total administrative budget,Total administrative budget,2009,,2148.7,
Institutional services,Institutional services,2010,439.3,,"Institutional Services includes units such as: Budget, Performance, and Strategy; Chief Risk Officer; Development Economics; Development Finance; 
External and Corporate Relations; Legal; Operations Policy and Country Services; Treasury; and WBG Finance and Accounting."
Centrally-managed accounts and programs,Centrally-managed accounts and programs,2010,136.5,,"Centrally-managed accounts and programs includes non-unit accounts and programs that are centrally managed such as Staff Separation funds, Budget Recoveries, Depreciation, Overhead and Benefits, Institutional Programs, HQ Real Estate, Corporate Contingency, Expenditure Review related programs and Budget Returns."
Operational units,Operational units Total,2010,,1386.6,
Governance services,Governance services,2010,182.4,,"Governance services includes units such as: the Board; Corporate Secretariat; Independent Evaluation Group; Institutional Integrity; Internal Audit; 
the Offices of the President, CEO, and Managing Directors; and Internal Justice Services (including Conflict Resolution System, Administrative Tribunal, 
Office of Ethics and Business Conduct, Office of Evaluation and Suspension, and Sanctions Board Secretariat)."
Administrative services,Administrative services,2010,317.3,,"Administrative services Includes General Services Department, Human Resources, Health and Safety Directorate and Information and Technology Solutions."
Operational units,Regional Programs,2010,,,
Operational units,Global Practices and Cross-Cutting Solutions Areas,2010,,,
"Reimbursements, fees, others","Reimbursements, fees, others",2010,-331.1,,
Total administrative budget,Total administrative budget,2010,,2301,
Grant-making Facilities,Grant-making Facilities,2010,170.1,,
Total gross administrative budget,Total gross administrative budget,2010,,2632.1,
Institutional services,Institutional services,2011,432.7,,"Institutional Services includes units such as: Budget, Performance, and Strategy; Chief Risk Officer; Development Economics; Development Finance; 
External and Corporate Relations; Legal; Operations Policy and Country Services; Treasury; and WBG Finance and Accounting."
Centrally-managed accounts and programs,Centrally-managed accounts and programs,2011,159.2,,"Centrally-managed accounts and programs includes non-unit accounts and programs that are centrally managed such as Staff Separation funds, Budget Recoveries, Depreciation, Overhead and Benefits, Institutional Programs, HQ Real Estate, Corporate Contingency, Expenditure Review related programs and Budget Returns."
Operational units,Operational units Total,2011,,1395.1,
Governance services,Governance services,2011,186.6,,"Governance services includes units such as: the Board; Corporate Secretariat; Independent Evaluation Group; Institutional Integrity; Internal Audit; 
the Offices of the President, CEO, and Managing Directors; and Internal Justice Services (including Conflict Resolution System, Administrative Tribunal, 
Office of Ethics and Business Conduct, Office of Evaluation and Suspension, and Sanctions Board Secretariat)."
Administrative services,Administrative services,2011,335.2,,"Administrative services Includes General Services Department, Human Resources, Health and Safety Directorate and Information and Technology Solutions."
Operational units,Regional Programs,2011,,,
Operational units,Global Practices and Cross-Cutting Solutions Areas,2011,,,
Total administrative budget,Total administrative budget,2011,,2313.1,
Grant-making Facilities,Grant-making Facilities,2011,149.4,,
Total gross administrative budget,Total gross administrative budget,2011,,2658.1,
"Reimbursements, fees, others","Reimbursements, fees, others",2011,-345,,
Centrally-managed accounts and programs,Centrally-managed accounts and programs,2012,126.8,,"Centrally-managed accounts and programs includes non-unit accounts and programs that are centrally managed such as Staff Separation funds, Budget Recoveries, Depreciation, Overhead and Benefits, Institutional Programs, HQ Real Estate, Corporate Contingency, Expenditure Review related programs and Budget Returns."
Governance services,Governance services,2012,190.7,,"Governance services includes units such as: the Board; Corporate Secretariat; Independent Evaluation Group; Institutional Integrity; Internal Audit; 
the Offices of the President, CEO, and Managing Directors; and Internal Justice Services (including Conflict Resolution System, Administrative Tribunal, 
Office of Ethics and Business Conduct, Office of Evaluation and Suspension, and Sanctions Board Secretariat)."
Institutional services,Institutional services,2012,435.2,,"Institutional Services includes units such as: Budget, Performance, and Strategy; Chief Risk Officer; Development Economics; Development Finance; 
External and Corporate Relations; Legal; Operations Policy and Country Services; Treasury; and WBG Finance and Accounting."
Operational units,Operational units Total,2012,,1438.8,
Administrative services,Administrative services,2012,414.5,,"Administrative services Includes General Services Department, Human Resources, Health and Safety Directorate and Information and Technology Solutions."
Operational units,Regional Programs,2012,,,
Operational units,Global Practices and Cross-Cutting Solutions Areas,2012,,,
Grant-making Facilities,Grant-making Facilities,2012,135.9,,
Total gross administrative budget,Total gross administrative budget,2012,,2742,
"Reimbursements, fees, others","Reimbursements, fees, others",2012,-377.8,,
Total administrative budget,Total administrative budget,2012,,2364.2,
